-1 1:1 2:0 3:0 4:2.649 5:1.09122 6:100.801 7:6.75284 8:0.964674 
-1 1:0 2:0 3:0 4:1.714 5:1.17263 6:101.974 7:6.73788 8:0.962555 
-1 1:1 2:0 3:0 4:1.49082 5:0.0260468 6:101.948 7:6.72453 8:0.960647 
-1 1:1 2:0 3:0 4:-5.79042 5:0.368568 6:101.579 7:6.74022 8:0.962871 
-1 1:1 2:0 3:0 4:3.28444 5:0.0474548 6:101.532 7:6.74452 8:0.963503 
-1 1:1 2:0 3:0 4:2.88729 5:0.911232 6:100.621 7:6.74503 8:0.963576 
-1 1:1.41421 2:0 3:0 4:2.01968 5:0.571182 6:101.192 7:6.74629 8:0.963755 
-1 1:1.41421 2:0 3:0 4:-5.5926 5:1.42318 6:99.7687 7:6.53471 8:0.933529 
-1 1:1.41421 2:0 3:0 4:7.74426 5:0.614586 6:100.383 7:6.52951 8:0.932788 
-1 1:2.23607 2:0 3:0 4:-4.08718 5:0.0464401 6:100.337 7:6.70067 8:0.957239 
-1 1:1.41421 2:0 3:0 4:-5.41973 5:1.22092 6:99.1159 7:6.68315 8:0.954735 
-1 1:0 2:0 3:0 4:0.959321 5:0.345924 6:99.4618 7:6.66518 8:0.952169 
-1 1:1.41421 2:0 3:0 4:6.72204 5:0.748695 6:100.211 7:6.78873 8:0.969819 
-1 1:1 2:0 3:0 4:-6.02493 5:0.051651 6:100.159 7:6.79221 8:0.970315 
-1 1:0 2:0 3:0 4:0.649047 5:0.0494766 6:100.109 7:6.81133 8:0.973047 
-1 1:1 2:0 3:0 4:0.106812 5:0.35894 6:99.7504 7:6.8485 8:0.978356 
-1 1:1 2:0 3:0 4:-0.147413 5:0.0273438 6:99.7778 7:6.8477 8:0.978243 
-1 1:1 2:0 3:0 4:5.99821 5:0.228729 6:100.007 7:6.83989 8:0.977127 
-1 1:1 2:0 3:0 4:-0.26368 5:0.289497 6:99.717 7:6.8503 8:0.978614 
-1 1:2 2:0 3:0 4:-9.45225 5:0.0555496 6:99.6615 7:6.82175 8:0.974536 
-1 1:1.41421 2:0 3:0 4:7.56794 5:0.815544 6:98.8459 7:6.82016 8:0.974309 
-1 1:0 2:0 3:0 4:-0.883536 5:0.0794296 6:98.9253 7:6.80662 8:0.972374 
-1 1:2.23607 2:0 3:0 4:5.09744 5:0.682289 6:99.6076 7:6.84421 8:0.977745 
-1 1:0 2:0 3:0 4:-0.969499 5:0.201828 6:99.8095 7:6.86055 8:0.980079 
-1 1:1 2:0 3:0 4:-2.48207 5:0.360245 6:100.17 7:6.87 8:0.981428 
-1 1:0 2:0 3:0 4:-1.72389 5:0.133247 6:100.036 7:6.88414 8:0.983448 
-1 1:0 2:0 3:0 4:-1.1721 5:0.526047 6:99.5104 7:6.88247 8:0.98321 
-1 1:1 2:0 3:0 4:-1.24888 5:0.111977 6:99.3984 7:6.88897 8:0.984138 
-1 1:1 2:0 3:0 4:-0.856092 5:0.453285 6:98.9452 7:6.89524 8:0.985034 
-1 1:2 2:0 3:0 4:-1.00024 5:1.45196 6:97.4932 7:6.91065 8:0.987236 
-1 1:1.41421 2:0 3:0 4:-0.438414 5:0.269539 6:97.2237 7:6.92312 8:0.988999 
-1 1:1 2:0 3:0 4:-1.09552 5:0.78717 6:98.0108 7:6.90355 8:0.986203 
-1 1:1 2:0 3:0 4:-0.918427 5:0.256973 6:97.7539 7:6.87717 8:0.982434 
-1 1:2.23607 2:0 3:0 4:0.290324 5:2.84423 6:100.598 7:6.89413 8:0.984857 
-1 1:0 2:0 3:0 4:-0.928753 5:1.11912 6:101.717 7:6.88851 8:0.984055 
-1 1:1 2:0 3:0 4:0.352657 5:1.49021 6:103.207 7:6.8974 8:0.985324 
-1 1:1 2:0 3:0 4:0.403469 5:0.765511 6:102.442 7:6.9206 8:0.988639 
-1 1:0 2:0 3:0 4:-0.162045 5:0.345421 6:102.787 7:6.91932 8:0.988474 
-1 1:2 2:0 3:0 4:-3.57025 5:0.0156403 6:102.772 7:6.93773 8:0.991104 
-1 1:1 2:0 3:0 4:-1.49204 5:0.224411 6:102.996 7:6.93076 8:0.990108 
-1 1:2 2:0 3:0 4:1.33503 5:0.292221 6:102.704 7:6.9444 8:0.992039 
-1 1:1.41421 2:0 3:0 4:-1.33954 5:0.258125 6:102.446 7:6.92958 8:0.98994 
-1 1:2.23607 2:0 3:0 4:1.88804 5:0.905869 6:103.352 7:6.92598 8:0.989426 
-1 1:2 2:0 3:0 4:-1.54043 5:0.161568 6:103.513 7:6.87464 8:0.982092 
-1 1:4.12311 2:8 3:8 4:-2.57591 5:0.428146 6:103.085 7:6.89998 8:0.985712 
-1 1:2.23607 2:1 3:9 4:2.81669 5:0.848122 6:103.933 7:6.82866 8:0.975523 
-1 1:2.23607 2:0 3:9 4:-1.34681 5:1.03342 6:102.9 7:6.76705 8:0.966721 
-1 1:1.41421 2:2 3:7 4:-2.06511 5:0.966583 6:101.933 7:6.74433 8:0.963475 
-1 1:2.23607 2:0 3:7 4:4.04403 5:0.0277786 6:101.961 7:7.68924 8:0.961154 
-1 1:3.16228 2:6 3:1 4:1.04408 5:0.213158 6:102.174 7:7.72483 8:0.965591 
-1 1:1 2:1 3:0 4:4.44556 5:0.226616 6:101.947 7:7.67374 8:0.959218 
-1 1:4 2:0 3:0 4:-5.73481 5:0.330292 6:101.617 7:7.69074 8:0.961343 
-1 1:0 2:0 3:0 4:3.89784 5:0.000869751 6:101.618 7:7.71804 8:0.964755 
-1 1:1.41421 2:0 3:0 4:3.22948 5:0.737411 6:102.355 7:7.70676 8:0.963345 
-1 1:4.12311 2:0 3:0 4:-3.83434 5:1.84766 6:100.508 7:-1 8:-1 
-1 1:3.16228 2:0 3:0 4:-3.10866 5:1.74262 6:98.7652 7:7.81065 8:0.976331 
-1 1:1 2:0 3:0 4:0.299385 5:0.287758 6:99.0529 7:-1 8:-1 
-1 1:1 2:0 3:0 4:-1.128 5:1.19358 6:100.247 7:-1 8:-1 
-1 1:1.41421 2:0 3:0 4:0.648376 5:0.480034 6:99.7665 7:7.92801 8:0.991002 
-1 1:3 2:0 3:0 4:-0.719079 5:1.78125 6:97.9852 7:7.90002 8:0.987502 
-1 1:0 2:3 3:3 4:1.33897 5:0.338539 6:98.3238 7:7.89412 8:0.986765 
-1 1:3.16228 2:3 3:0 4:-2.46996 5:1.06901 6:97.2548 7:7.90203 8:0.987753 
-1 1:1 2:0 3:0 4:0.391167 5:0.127602 6:97.3824 7:-1 8:-1 
-1 1:1 2:0 3:0 4:1.70269 5:0.220924 6:97.6033 7:-1 8:-1 
-1 1:1 2:0 3:0 4:10.1496 5:0.274734 6:97.878 7:-1 8:-1 
-1 1:1 2:1 3:1 4:-0.473471 5:0.0694427 6:97.9475 7:-1 8:-1 
-1 1:1 2:1 3:0 4:16.7524 5:0.587677 6:98.5352 7:-1 8:-1 
-1 1:1 2:0 3:0 4:1.06971 5:1.81076 6:100.346 7:-1 8:-1 
-1 1:1 2:0 3:0 4:1.04133 5:1.19575 6:101.542 7:-1 8:-1 
-1 1:1 2:0 3:0 4:21.3777 5:0.0173569 6:101.524 7:-1 8:-1 
-1 1:1 2:0 3:0 4:-5.26802 5:1.00781 6:102.532 7:-1 8:-1 
-1 1:1 2:0 3:0 4:-4.38918 5:0.572914 6:103.105 7:-1 8:-1 
-1 1:1 2:0 3:0 4:19.0142 5:0.274307 6:102.831 7:-1 8:-1 
-1 1:1 2:0 3:0 4:-12.2645 5:0.557732 6:103.388 7:-1 8:-1 
-1 1:1 2:0 3:0 4:2.02646 5:2.75652 6:100.632 7:-1 8:-1 
-1 1:1 2:0 3:0 4:-11.764 5:0.532982 6:100.099 7:-1 8:-1 
-1 1:1 2:0 3:0 4:-11.1234 5:0.338982 6:99.76 7:-1 8:-1 
-1 1:1 2:0 3:0 4:7.2058 5:0.669701 6:99.0903 7:-1 8:-1 
-1 1:1 2:0 3:0 4:-12.1437 5:0.529945 6:98.5603 7:-1 8:-1 
-1 1:1 2:0 3:0 4:-22.5978 5:0.393669 6:98.1667 7:-1 8:-1 
-1 1:1 2:0 3:0 4:4.71403 5:0.320747 6:97.8459 7:-1 8:-1 
-1 1:1 2:0 3:0 4:-4.81572 5:0.0295181 6:97.8754 7:-1 8:-1 
-1 1:2 2:0 3:0 4:5.22117 5:0.28212 6:97.5933 7:6.30291 8:0.787864 
-1 1:1.41421 2:0 3:0 4:-4.82774 5:0.695312 6:96.898 7:6.30091 8:0.787614 
-1 1:2.23607 2:0 3:0 4:3.4459 5:0.603294 6:96.2947 7:6.27951 8:0.784938 
-1 1:1 2:0 3:0 4:-1.81039 5:0.137589 6:96.1571 7:5.47099 8:0.78157 
-1 1:2 2:0 3:0 4:3.52056 5:0.0221405 6:96.135 7:5.44107 8:0.777295 
